Designator,Mid X,Mid Y,Rotation,Layer
C1,161.945,-146.51,0.0,top
C11,162.75,-70.5,180.0,top
C12,157.7,-69.5,0.0,top
C13,144.0,-111.75,180.0,top
C14,153.8,-69.5,180.0,top
C15,150.62,-139.25,0.0,top
C16,178.25,-154.75,90.0,top
C17,180.5,-154.75,90.0,top
C18,150.62,-146.75,0.0,top
C19,153.395,-153.425,270.0,top
C2,144.0,-113.75,180.0,top
C20,161.195,-158.01,270.0,top
C3,144.0,-115.75,0.0,top
C5,144.0,-109.75,0.0,top
C6,149.0,-59.75,180.0,top
C7,162.75,-57.325,180.0,top
C9,149.0,-68.25,180.0,top
D2,162.75,-142.1875,270.0,top
D3,168.25,-147.0,270.0,top
D5,150.62,-156.75,270.0,top
D6,156.445,-157.925,0.0,top
J1,123.635,-102.02,270.0,top
J3,146.47,-149.875,90.0,top
J4,179.85,-53.635,0.0,top
J5,132.135,-53.635,180.0,top
J6,187.75,-128.505,90.0,top
J7,179.85,-74.365,0.0,top
J8,132.135,-74.365,180.0,top
L1,166.5,-155.0,90.0,top
R1,161.75,-59.825,270.0,top
R10,163.75,-59.82378,90.0,top
R11,148.0,-62.25,90.0,top
R12,148.0,-65.75,270.0,top
R2,150.0,-62.25,90.0,top
R21,128.75,-103.25,0.0,top
R22,131.75,-103.25,0.0,top
R23,162.25,-62.25,0.0,top
R27,161.0,-142.1125,90.0,top
R3,150.0,-65.75,270.0,top
R4,140.75,-110.75,0.0,top
R5,161.75,-68.0,90.0,top
R6,160.32,-149.76,180.0,top
R7,140.75,-114.75,0.0,top
R8,163.75,-68.0,270.0,top
R9,163.57,-149.76,180.0,top
U1,151.37,-142.75,270.0,top
U2,155.76,-64.025,0.0,top
U3,158.245,-153.375,180.0,top
U4,162.5,-64.75,180.0,top
