Designator,Mid X,Mid Y,Rotation,Layer
5V1,162.275,-153.25,0.0,bottom
9V1,159.0,-153.25,0.0,bottom
A1,146.625,-140.0,270.0,bottom
AUDIO_IN1,160.5,-135.5,0.0,top
AUDIO_RAW1,133.25,-116.75,0.0,top
C1,128.25,-164.25,180.0,top
C10,123.5,-166.5,180.0,top
C12,139.75,-120.25,180.0,top
C13,145.25,-126.0,180.0,top
C14,137.75,-117.45,90.0,top
C15,137.75,-123.0,270.0,top
C16,155.5,-124.0,180.0,top
C17,155.5,-118.5,180.0,top
C18,121.5,-120.25,270.0,top
C19,128.0,-120.25,270.0,top
C2,145.25,-113.0,180.0,top
C3,149.0,-128.5,180.0,top
C4,123.0,-164.25,0.0,top
C5,152.5,-128.5,180.0,top
C6,155.5,-122.0,0.0,top
C8,127.75,-166.5,0.0,top
C9,155.5,-116.5,0.0,top
D1,129.5,-160.0,90.0,top
D2,141.5,-164.5,270.0,top
GND1,165.5,-153.25,0.0,bottom
GND2,122.75,-144.25,0.0,top
J1,147.005,-165.7175,0.0,bottom
J3,133.3575,-155.125,90.0,bottom
J4,131.65,-120.25,0.0,bottom
J5,162.35,-120.25,180.0,bottom
R1,139.5,-117.45,270.0,top
R13,145.175,-114.75,0.0,top
R14,145.25,-127.75,0.0,top
R2,152.25,-123.0,0.0,top
R21,152.75,-163.25,90.0,top
R22,154.25,-163.25,270.0,top
R25,158.75,-116.5,0.0,top
R26,158.75,-122.0,0.0,top
R27,141.5,-161.25,270.0,top
R3,136.0,-117.5,90.0,top
R4,136.0,-123.0,270.0,top
R5,139.5,-123.0,90.0,top
R6,152.75,-130.25,180.0,top
R7,149.0,-130.25,180.0,top
R9,152.25,-117.5,0.0,top
U1,124.5725,-156.66,90.0,top
U2,147.0,-120.25,270.0,top
U4,124.75,-120.25,180.0,top
