Designator,Footprint,Quantity,Value,LCSC Part #
"5VA1, 5VD1, 9V1, GND1",PinHeader_1x01_P2.54mm_Vertical,4,TestPoint,
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4 (2 1x20 pin headers required),C50984
A2,XIAO-ESP32-C6-DIP,1,XIAO-ESP32-C6-DIP  (2 1x7 pin headers required),C5371993
"C1, C14, C17, C18, C19, C2",0805,6,0.1uf,C49678
"C10, C7",0805,2,2.2nf,C28260
C11,0805,1,0.01uf,C1710
C12,CP_EIA-3528-21_Kemet-B,1,100uf,C16133
"C13, C3, C4, C5, C6, C8, C9",0805,7,10uf,C440198
C15,CP_EIA-7343-31_Kemet-D,1,220uf,C242173
C16,0805,1,0.33uf,C1740
D1,D_SMA,1,SS14,C2480
"D2, D3",D_SMA,2,SS34,C8678
D4,0805,1,LED,C2297
FB1,0603,1,120Ω@100MHz,C14709
J6,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C16214
L1,L_Changjiang_FNR8040S,1,18uH,C168130
"R1, R11, R8",0603,3,100,C22775
"R10, R14, R7",0603,3,3.3K,C22978
"R12, R3, R4, R5, R6, R9",0603,6,2M,C22976
"R13, R16, R2",0603,3,10k,C25804
R15,0603,1,1k,C21190
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,OPA1664D,C69414
U2,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U3,SOT-89-3,1,78L05G-AB3-R,C71136
U4,SOT-23-3,1,CJ431,C3113
