Designator,Mid X,Mid Y,Rotation,Layer
A1,177.375,-93.25,270.0,bottom
A2,162.5,-73.37,0.0,bottom
C1,156.2,-76.25,0.0,top
C10,198.75,-92.5,90.0,top
C11,166.75,-46.77,90.0,top
C12,182.0,-49.0,270.0,top
C13,179.25,-49.25,270.0,top
C14,174.5,-51.5,90.0,top
C15,166.0,-58.27,180.0,top
C16,174.5,-55.0,90.0,top
C17,181.5,-55.0,90.0,top
C18,175.5,-129.75,180.0,top
C19,179.45,-129.75,0.0,top
C2,156.2,-78.5,0.0,top
C3,183.25,-118.5,180.0,top
C4,183.5,-128.5,180.0,top
C5,194.75,-92.5,270.0,top
C6,171.8,-118.5,180.0,top
C7,196.75,-92.5,90.0,top
C8,200.75,-92.5,270.0,top
C9,171.5,-128.5,180.0,top
D1,159.695,-57.78,90.0,top
D2,185.5,-48.75,90.0,top
D3,171.5,-46.855,180.0,top
D4,155.75,-52.0,270.0,top
FB1,179.25,-52.25,180.0,top
J6,194.35,-53.125,270.0,bottom
L1,161.25,-49.5,270.0,top
R1,194.5,-77.75,0.0,top
R10,199.75,-89.25,270.0,top
R11,172.5,-131.0,90.0,top
R12,170.5,-131.0,90.0,top
R13,164.375,-55.02,0.0,top
R14,167.625,-55.02,0.0,top
R15,175.75,-116.0,90.0,top
R16,153.175,-51.0,0.0,top
R2,194.5,-79.25,0.0,top
R3,182.25,-116.0,90.0,top
R4,184.0,-116.0,270.0,top
R5,182.5,-131.0,270.0,top
R6,184.5,-130.99878,90.0,top
R7,195.75,-89.25,270.0,top
R8,172.8,-116.0,270.0,top
R9,170.8,-116.0,270.0,top
U1,177.5,-123.5,0.0,top
U2,169.7,-51.405,0.0,top
U3,178.0,-56.0,90.0,top
U4,178.25,-116.0,270.0,top
